"Price""Carat""Cut""Color""Clarity""urlList"
"1"19120.9"Good""J""SI1""https://www.bluenile.com/diamond-details/LD09573307?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"2"20840.9"Very Good""J""SI2""https://www.bluenile.com/diamond-details/LD09808569?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"3"21650.92"Very Good""J""VS1""https://www.bluenile.com/diamond-details/LD00057817?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"4"21880.9"Very Good""J""VS1""https://www.bluenile.com/diamond-details/LD09008197?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"5"22070.91"Very Good""J""SI2""https://www.bluenile.com/diamond-details/LD09588677?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"6"22920.9"Very Good""H""SI2""https://www.bluenile.com/diamond-details/LD08730504?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"7"23420.91"Very Good""G""SI2""https://www.bluenile.com/diamond-details/LD08637812?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"8"23631.05"Very Good""J""SI2""https://www.bluenile.com/diamond-details/LD09999072?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"9"23670.9"Very Good""H""SI2""https://www.bluenile.com/diamond-details/LD09634640?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"10"23700.9"Very Good""I""SI1""https://www.bluenile.com/diamond-details/LD08730785?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"11"23840.9"Very Good""J""VS2""https://www.bluenile.com/diamond-details/LD08326268?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"12"23990.9"Very Good""G""SI2""https://www.bluenile.com/diamond-details/LD09536649?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"13"24000.91"Very Good""G""SI2""https://www.bluenile.com/diamond-details/LD09969596?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"14"24310.9"Very Good""E""SI1""https://www.bluenile.com/diamond-details/LD00069803?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"15"24330.91"Very Good""F""SI2""https://www.bluenile.com/diamond-details/LD08071399?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"16"24400.9"Very Good""H""SI2""https://www.bluenile.com/diamond-details/LD00041866?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"17"24410.9"Very Good""J""VS1""https://www.bluenile.com/diamond-details/LD00052255?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"18"24840.91"Good""I""VS2""https://www.bluenile.com/diamond-details/LD00057816?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"19"24920.9"Very Good""I""VVS2""https://www.bluenile.com/diamond-details/LD07421847?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"20"24920.96"Very Good""H""SI2""https://www.bluenile.com/diamond-details/LD09520700?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"21"25120.9"Very Good""I""SI1""https://www.bluenile.com/diamond-details/LD08724003?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"22"25120.9"Very Good""I""SI1""https://www.bluenile.com/diamond-details/LD08724004?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"23"25191.01"Very Good""J""SI2""https://www.bluenile.com/diamond-details/LD09381843?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"24"25230.9"Very Good""I""SI1""https://www.bluenile.com/diamond-details/LD09067125?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"25"25341"Good""J""SI1""https://www.bluenile.com/diamond-details/LD08102886?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"26"25340.9"Good""I""VS1""https://www.bluenile.com/diamond-details/LD09881468?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"27"25510.91"Very Good""I""VS2""https://www.bluenile.com/diamond-details/LD09266047?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"28"25850.9"Very Good""F""SI2""https://www.bluenile.com/diamond-details/LD00075900?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"29"26081.02"Very Good""J""SI2""https://www.bluenile.com/diamond-details/LD09872459?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"30"26161.01"Very Good""J""SI1""https://www.bluenile.com/diamond-details/LD09293234?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"31"26301.01"Very Good""J""SI1""https://www.bluenile.com/diamond-details/LD09977661?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"32"26310.9"Very Good""E""SI1""https://www.bluenile.com/diamond-details/LD05383048?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"33"26380.9"Good""F""SI1""https://www.bluenile.com/diamond-details/LD00037444?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"34"26391.01"Very Good""I""SI2""https://www.bluenile.com/diamond-details/LD09812681?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"35"26530.9"Very Good""I""SI1""https://www.bluenile.com/diamond-details/LD00052258?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"36"26591.01"Very Good""J""VVS2""https://www.bluenile.com/diamond-details/LD00016207?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"37"26640.9"Very Good""I""SI1""https://www.bluenile.com/diamond-details/LD09739991?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
"38"26671.03"Good""J""SI1""https://www.bluenile.com/diamond-details/LD09952952?refTab=DIAMONDS&track=viewDiamondDetails&action=newTab"
